System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,-3.0001999478407635,-2.9998020558228133,1.5697418854166667,1,0.2,-0.22000000000000003,-0.284
0.009510115296124852,-3.0020501680882354,-2.9979706387755884,1.5673534126725672,1,0.30000000000000004,-0.22000000000000003,-0.284
0.059510115296124856,-3.013049464339224,-2.987092674214824,1.5531534126725672,1,0.4,-0.22000000000000003,-0.284
