System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[-2.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-2.0,-3.0,1.57,1324.6490000000001,132.46490000000003,-0.22000000000000003,-0.284
0.0011,-2.0001999478407635,-2.9998020558228133,1.5697418854166667,1324.6021164144117,264.9251116414412,-0.22000000000000003,-0.284
0.009391476196149112,-2.002024067639425,-2.9979964706959845,1.5673871061769604,1324.1753439774068,397.3426460391819,-0.22000000000000003,-0.284
0.059391476196149116,-2.01302336779157,-2.9871184639739106,1.5531871061769604,1321.6378815768207,529.506434196864,-0.22000000000000003,-0.284
