System,3wrobotNI
Controller,lqr
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,99828.44999999994,998.2844999999994,0.0,0.0
0.0011,-3.0,-3.0,1.57,99828.44999999994,1996.5689999999988,0.0,0.0
0.0111,-3.0,-3.0,1.57,99828.44999999994,2994.8534999999983,8.10468635614928,1.833524493186667
0.0611,-3.004014757404402,-2.899615921441931,1.6533203187659047,103697.69088381011,4031.830408838099,8.115532472668848,1.6382623755079244
0.1111,-3.0176574118075523,-2.7904902557629025,1.736123303963014,106864.1475383908,5100.471884222007,8.152388951003138,1.4336582715080344
0.16110000000000002,-3.0397342887462555,-2.682745849932873,1.80873865811654,108780.72633980271,6188.279147620035,8.212031005440304,1.240652665584416
0.2111,-3.0690546175919944,-2.5767377924912935,1.8716508742352564,109539.15244509309,7283.670672070965,8.29124169515826,1.0591681909376345
0.2611,-3.1045055422865757,-2.472615136947321,1.9254363614660752,109226.0601745666,8375.931273816632,8.387014570386608,0.8888046754981644
0.3111,-3.1450636762737028,-2.3703701526473537,1.9706529914701998,107914.93254695079,9455.080599286139,8.496584888772055,0.7290035209558144
0.3611,-3.189796988742125,-2.269879043763528,2.00783142798791,105671.04885617722,10511.79108784791,8.61743471118145,0.5791021400559255
0.41109999999999997,-3.237860480160062,-2.170935509049799,2.037469679304703,102556.3178945931,11537.354266793842,8.7472812188894,0.43837714855584636
0.46109999999999995,-3.288488166770228,-2.073277791130176,2.0600298615635504,98633.53399675607,12523.689606761403,8.884055059193672,0.3060780405778441
0.5111,-3.3409831749687915,-1.9766101302199275,2.075936689214738,93969.91285072212,13463.388735268625,9.025873584764618,0.1814528552511511
0.5611,-3.39470717533232,-1.88061960764465,2.085577285295842,88639.8754103455,14349.78748937208,9.171012309012635,0.06376734664265575
0.6111000000000001,-3.449069957633944,-1.7849893191745099,2.0893019798156436,82727.07821388503,15177.05827151093,9.31787674234673,-0.04768095663108849
0.6611000000000001,-3.5035196422209953,-1.6894087149273815,2.087425834407863,76325.68070823491,15940.31507859328,9.464975947603165,-0.15355260098915366
0.7111000000000002,-3.557533814776205,-1.5935818174719087,2.0802306923209746,69540.82029472508,16635.72328154053,9.61089859005213,-0.25445896659146294
0.7611000000000002,-3.610611737029279,-1.4972339033241306,2.0679676037304744,62488.24833893425,17260.60576492987,9.75429189415121,-0.3509571277747711
0.8111000000000003,-3.6622677052104953,-1.400117115557699,2.0508595176075453,55293.07375944129,17813.536502524283,9.893843700995205,-0.4435461808820738
0.8611000000000003,-3.712025584805554,-1.3020153706449424,2.029104163883592,48087.5701347352,18294.412203871634,10.02826770361687,-0.5326645550773951
0.9111000000000004,-3.7594145320881283,-1.2027488311427605,2.002877074553789,41008.0307187447,18704.49251105908,10.156291888441322,-0.618687949410782
0.9611000000000004,-3.803965910632832,-1.1021781357517482,1.972334710781384,34190.70499483866,19046.399561007467,10.276650205054288,-0.7019276478110661
1.0111000000000003,-3.8452114175009995,-1.0002085071357334,1.9376176759746861,27766.92033012693,19324.068764308737,10.388077503976588,-0.7826290565866643
1.0611000000000004,-3.8826824436107987,-0.8967937931232537,1.8988540030030543,21857.58040914457,19542.64456840018,10.489307808664256,-0.8609703900837408
1.1111000000000004,-3.9159107015786967,-0.7919404362987359,1.856162507805169,16567.33267194814,19708.317895119664,10.579076011661265,-0.9370615024922484
1.1611000000000005,-3.944430158340363,-0.6857113089492146,1.8096562020730431,11978.800192385033,19828.105897043515,10.656123095694953,-1.010942929628588
1.2111000000000005,-3.967780305834773,-0.5782292941516344,1.7594457548038236,8147.365182682589,19909.57954887034,10.719204969632292,-1.0825852649903087
1.2611000000000006,-3.9855107880092064,-0.46968043981103746,1.7056429865722327,5097.053547174502,19960.550084342085,10.767104968621318,-1.1518890493545157
1.3111000000000006,-3.9971873738261965,-0.36031646224200387,1.6483643716634584,2818.0822568695653,19988.73090691078,10.79864999054044,-1.2186854011997912
1.3611000000000006,-4.002399221913512,-0.25045633227276914,1.587734512061097,1266.5741440101576,20001.39664835088,10.812730121901636,-1.2827376533982842
1.4111000000000007,-4.000767322090962,-0.14048664397781235,1.5238895341863583,366.8036440954715,20005.064684791836,10.808321443159494,-1.3437442857628668
1.4611000000000007,-3.991953922822007,-0.03086044925655096,1.4569803449155014,16.10841902204578,20005.225768982058,10.784511497557363,-1.401343447903937
1.5111000000000008,-3.9756726642891027,0.07790575347074238,1.387175668701937,92.29820040666438,20006.148750986125,10.74052666625984,-1.4551193466650054
1.5611000000000008,-3.9516990394022566,0.18523715519927056,1.314664773823978,463.0458379473308,20010.7792093656,10.675760429417219,-1.5046107216300175
1.6111000000000009,-3.9198807075400284,0.29050810971760305,1.2396597843731771,996.4081046880289,20020.74329041248,10.589801229377475,-1.5493215466369485
1.661100000000001,-3.8801470988354563,0.393052055475652,1.1623974673115436,1571.3605239476237,20036.456895651958,10.4824584172613,-1.5887339733637633
1.711100000000001,-3.8325176831285366,0.4921738600612184,1.0831403825672405,2087.1080009792254,20057.32797566175,10.35378459205089,-1.622323377391156
1.761100000000001,-3.7771082509743286,0.5871643946780469,1.002177290408745,2470.002581400722,20082.028001475755,10.204092569123492,-1.6495751854246428
1.811100000000001,-3.714134576991408,0.6773169603595277,0.9198227255751653,2677.1792351082563,20108.799793826838,10.033965277014836,-1.670002968137599
1.861100000000001,-3.643912917670676,0.7619449993822268,0.8364156725322115,2696.482174948402,20135.76461557632,9.844257102280537,-1.6831670954489348
1.9111000000000011,-3.566856940002349,0.8404003551320075,0.7523173105274595,2542.8219431504044,20161.192835007827,9.636085591991126,-1.688693093031085
1.9611000000000012,-3.4834708794497846,0.9120912142311648,0.6679078394586364,2251.666153665092,20183.709496544478,9.410812969573325,-1.6862887346920348
2.011100000000001,-3.394338972432551,0.9764987974672352,0.5835824453618124,1870.804000873405,20202.41753655321,9.17001758600661,-1.6757588765722393
2.061100000000001,-3.300111477582059,1.033191877213265,0.4997465138985402,1451.7396496067001,20216.934933049277,8.915456155376974,-1.6570171005250507
2.111100000000001,-3.201487863355841,1.0818382960418216,0.41681024713248954,1042.0179509621958,20227.3551125589,8.64901833517252,-1.6300933896239527
2.1611000000000007,-3.099197966556828,1.1222128402813345,0.3351828784479669,679.4895167592581,20234.150007726494,8.372675824852896,-1.5951372995235757
2.2111000000000005,-2.9939820888851427,1.1542010676663836,0.2552667083736747,389.0627928927737,20238.040635655423,8.088428595447569,-1.5524163934861888
2.2611000000000003,-2.8865710762985275,1.1777989741882726,0.17745119707028892,181.98463664615696,20239.860482021886,7.798251072710596,-1.5023100439702972
2.3111,-2.777667409342431,1.193108679655351,0.10210734562267848,57.253820743348975,20240.43302022932,7.504041051472697,-1.4452990319092316
2.3611,-2.667928225325888,1.2003305811122462,0.02958257821704302,4.487371985843531,20240.477893949177,7.207573828994753,-1.3819516589226568
2.4111,-2.557951011003789,1.1997526392383373,-0.03980369718410651,7.460788092633601,20240.552501830105,6.910463552860214,-1.312907297133099
2.4610999999999996,-2.4482624721050223,1.1917376049906814,-0.1057637173353751,47.61246389691821,20241.028626469073,6.614133151313952,-1.2388584168282126
2.5110999999999994,-2.3393108329615773,1.1767090532105318,-0.16804410052192495,106.98689873983152,20242.09849545647,6.3197935302319594,-1.1605321484667428
2.5610999999999993,-2.2314615745196797,1.1551370693599448,-0.22642766359534672,170.3236056763805,20243.801731513235,6.028432059093672,-1.0786723603672894
2.611099999999999,-2.1249964062384556,1.1275243473905259,-0.2807343405438517,226.21913765417113,20246.063922889778,5.740809793502347,-0.9940230853539896
2.661099999999999,-2.020115103248995,1.0943933198053764,-0.3308212662471585,267.458214924229,20248.738505039022,5.4574664383844,-0.9073139335660597
2.7110999999999987,-1.916939732387746,1.0562747767201297,-0.37658212182032824,290.71011111481045,20251.64560615017,5.178731764881132,-0.8192479112348207
2.7610999999999986,-1.815520738935148,1.0136982597359008,-0.41794585993175576,295.82160558502636,20254.60382220602,4.904742054051244,-0.7304918508534816
2.8110999999999984,-1.7158443633329856,0.9671843557824323,-0.45487493972877174,284.923543935616,20257.453057645376,4.635460133593493,-0.6416694660174072
2.861099999999998,-1.6178408930789097,0.9172388779027992,-0.4873632025438689,261.52427163110633,20260.068300361687,4.370697670852329,-0.5533568869561017
2.911099999999998,-1.521393317041834,0.864348811089867,-0.5154335130722918,229.70814564302992,20262.365381818116,4.110138552988543,-0.4660804164792748
2.961099999999998,-1.4263460256023401,0.8089798238822891,-0.5391352782278556,193.50432627189218,20264.300425080834,3.8533623909490076,-0.38031617113071947
3.0110999999999977,-1.3325132800142407,0.7515750989602188,-0.5585419394650164,156.44779233520507,20265.864903004185,3.5998673999730424,-0.29649123503075475
3.0610999999999975,-1.2396872503677216,0.6925552145226619,-0.5737485158993013,121.32386336231706,20267.07814163781,3.349092114649159,-0.2149859478958928
3.1110999999999973,-1.1476454882912972,0.6323188076365484,-0.5848692566599449,90.06899108343654,20267.978831548644,3.1004355768835805,-0.13613696668510933
3.161099999999997,-1.0561577552446868,0.571243765617106,-0.5920354427991974,63.79196054384266,20268.61675115408,2.8532757829576174,-0.06024077493041488
3.211099999999997,-0.9649921690807659,0.5096887168266664,-0.5953933626279335,42.87810656596714,20269.04553221974,2.6069862888465907,0.012442641426720349
3.261099999999997,-0.8739206610920642,0.44799462384306415,-0.5951024700842668,27.14208015191192,20269.31695302126,2.3609509527699344,0.08168618323959342
3.3110999999999966,-0.7827237545492569,0.38648631645491893,-0.5913337239383614,16.00002174088345,20269.47695323867,2.114576844709764,0.14729227342413231
3.3610999999999964,-0.6944254466494155,0.3276258510754584,-0.5842680963552354,8.834905881530885,20269.565302297488,1.8760334809407937,0.20666451495062527
3.4110999999999962,-0.6150247648399958,0.2756699000876841,-0.5742054472292442,4.7388015900859255,20269.612690313388,1.6615276067642093,0.2553011345571327
3.461099999999996,-0.5441746016338674,0.23044524630461105,-0.5616620417626151,2.4804598213669693,20269.637494911603,1.4701214897416568,0.29390622576994907
3.511099999999996,-0.48094416845113874,0.19127924740261543,-0.5471426651345929,1.2667654287046441,20269.65016256589,1.299300546705167,0.32373542687509665
3.5610999999999957,-0.424531608328881,0.15751911816091702,-0.5310918341604579,0.6306608297810634,20269.656469174188,1.1468985112590628,0.3459625912499647
3.6110999999999955,-0.374240946010649,0.1285476197703869,-0.513895000268939,0.3055972717820311,20269.659525146904,1.0110351630149679,0.3616632910078011
3.6610999999999954,-0.3294588949574595,0.10378958048110672,-0.4958833883867162,0.14376034701561258,20269.660962750375,0.890053670291246,0.37181223773524746
3.711099999999995,-0.28963806979152507,0.08271570113534571,-0.47733902821030033,0.06538996328169315,20269.661616650006,0.7824752374869279,0.37728395284257765
3.761099999999995,-0.2542850461097244,0.06484428749903248,-0.4584997667698325,0.028578098582227835,20269.66190243099,0.6869668479260906,0.3788557560062865
3.811099999999995,-0.22295194330389112,0.049741354652528595,-0.43956414213497785,0.011881527027918158,20269.662021246262,0.6023185243240042,0.37721245145779975
3.8610999999999946,-0.1952304948401613,0.0370194706991766,-0.4206960305439633,0.004622347085566753,20269.662067469733,0.5274273092784422,0.3729522117486362
